dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby,lastupdated,comment,followup,deleted
B.1 Year of establishment,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,1978,7120450,2025-10-29T11:29:45.714+0000,,FALSE,null
F.3 Shared Facilities_Computers,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,TRUE,7120450,2026-02-08T02:13:59.642+0000,,FALSE,null
E.4 Number of rooms other than classrooms in the centre by type Office,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,7,7120450,2026-02-08T02:08:56.077+0000,,FALSE,null
F.2 Facilities available_Laboratories (How many useable/unseable laboratories does the have?),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),EzufRF9ikJP,HllvX50cXC0,1,7120450,2026-02-08T02:12:39.923+0000,,FALSE,null
F.3 Shared Facilities_Wash hand facility,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,TRUE,7120450,2026-02-08T02:14:34.331+0000,,FALSE,null
Attestation by Supervisor (Name),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,Ando Joshua,7120450,2026-02-10T15:12:36.686+0000,,FALSE,null
F.3 Shared Facilities_Play Ground(s),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,TRUE,7120450,2026-02-08T02:14:29.546+0000,,FALSE,null
B.2 Location,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,2,7120450,2025-10-29T11:29:58.188+0000,,FALSE,null
F.1 Source of safe drinking Water,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,Well,7120450,2026-02-08T02:11:29.563+0000,,FALSE,null
E.4 Number of rooms other than classrooms in the centre by type Library,2024,SSS Tombo Community Secondary School Ikyungwa (07120450),HllvX50cXC0,HllvX50cXC0,1,7120450,2026-02-08T02:09:05.956+0000,,FALSE,null
F.2 Facilities available_Computers (How many useable/unseable computer does the have?),2024,SSS Tombo Community Secondary School Ikyungwa (07120450),EzufRF9ikJP,HllvX50cXC0,20,7120450,2026-02-08T02:12:17.076+0000,,FALSE,null
